LONGITUDE,LAT,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
35.68914472,0.1874125,141782 - KISII NDOGO,141782 - KISII NDOGO,141782,MOLO 11KV EX ELBURGON,ELBURGON,Nakuru,300718909,0,KISII
36.45363417,0.688799167,141821 - NYONDIA CENTRE & ENV,141821 - NYONDIA CENTRE & ENV,141821,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300718963,0,NYONDIA CENTER
35.94011889,0.1706125,141875 - SYSTEM REINFORCEMENT,141875 - SYSTEM REINFORCEMENT,141875,UNIVERSITY FEEDER EX KABARAK,KABARAK 33/11 SUBSTATION,Nakuru,300719013,0,GITOMWA
36.42758722,0.779391389,142559 - NAIVASHA HEALTH PARK,142559 - NAIVASHA HEALTH PARK,142559,KIHOTO SOUTHLAKE 11KV,KIHOTO SUBSTATION,Nakuru,300719750,0,NAIVASHA
35.58982028,0.594969167,143444 - MLANGO KIPTAGICH,143444 - MLANGO KIPTAGICH,143444,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300720650,0,MLANGO KIPTAGICH
35.6764625,0.282593611,143662 - SAFARICOM   BYGUM,143662 - SAFARICOM   BYGUM,143662,MOLO 11KV EX ELBURGON,ELBURGON,Nakuru,300720823,9,SAFARICOM   BYGUM
36.06648389,0.130083611,144086 - GITUAMBA  PRIMARY,144086 - GITUAMBA  PRIMARY,144086,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300721265,3,GITUAMBA PRY SCHOOL
35.61787764,0.581333611,144218 - KIPTAGICH,144218 - KIPTAGICH,144218,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300721438,0,KIPTAGICH
36.2789425,0.645725833,144229 - MORGEN EBURU,144229 - MORGEN EBURU,144229,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300721449,0,MORGEN EBURU
35.9289325,0.119107167,144577 - SYSTEM REINF. RANJUE,144577 - SYSTEM REINF. RANJUE,144577,UNIVERSITY FEEDER EX KABARAK,KABARAK 33/11 SUBSTATION,Nakuru,300721804,0,RANJUERA
35.61966806,0.575685833,144584 - KIPTAGICH SAPTET,144584 - KIPTAGICH SAPTET,144584,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300721812,0,KIPTAGICH SAPTET
36.10492972,0.556117222,145427 - MBOMBO  PRIMARY,145427 - MBOMBO  PRIMARY,145427,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300722661,0,MBOMBO PRIMARY
36.28940611,0.859668056,145704 - SINOPEC,145704 - SINOPEC,145704,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300722943,0,NAIVASHA
36.30027272,0.832538611,145823 - GREATWALL DRILLING C,145823 - GREATWALL DRILLING C,145823,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300723065,3,OPPOSITE OSERIAN HOUSI
35.61678811,0.458932222,146174 - KOITAB PRIMARY SCHOOL,146174 - KOITAB PRIMARY SCHOOL,146174,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300723423,0,KOITAB PRIMARY SCHOOL
35.59706111,0.488454167,146176 - KAPNANDA PRIMARY SCH,146176 - KAPNANDA PRIMARY SCH,146176,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300723426,0,KAPNANDA PRIMARY SCHOOL
35.57513139,0.507019444,146179 - KAPKOI SECONDARY SCH,146179 - KAPKOI SECONDARY SCH,146179,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300723428,0,KAPKOI SECONDARY SCHOOL
35.88580889,0.155618333,146343 - BOITO RONGAI,146343 - BOITO RONGAI,146343,RONGAI TOWN 11KV EX RONGA,RONGAI,Nakuru,300723593,0,boito
35.59900333,0.385545972,146953 -  MUTUKANIO  PRIMAYY,146953 -  MUTUKANIO  PRIMAYY,146953,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300724033,3,MUTUKANIO  PRIMAYY  SCHOOL
35.60507528,0.425329722,146977 - KIPLELJI PRIMARY SCH,146977 - KIPLELJI PRIMARY SCH,146977,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300724058,3,KIPLELJI PRIMARY SCHOOL
35.60694167,0.427068056,146980 - KIPLELJI VILLAGE,146980 - KIPLELJI VILLAGE,146980,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300724061,0,KIPLELJI VILLAGE
36.12276667,0.526745833,147060 - KONGOY FARM BOREHOLE,147060 - KONGOY FARM BOREHOLE,147060,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300724161,80,KONGOY FARM
36.00697528,0.094041389,147108 - BARINA SECONDARY SCH,147108 - BARINA SECONDARY SCH,147108,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300724211,10,BARINA SECONDARY
35.52364417,0.413226389,147754 - SACHANGWAN MARKET,147754 - SACHANGWAN MARKET,147754,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300724881,0,SACHANGWAN MARKET
36.14920111,0.001335444,147758 - EMARANGISHU,147758 - EMARANGISHU,147758,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300724884,3,EMARANGISHU
36.14597778,0.007401944,147771 - KWA BIRIR EMARANGISH,147771 - KWA BIRIR EMARANGISH,147771,NYAHURURU/MARALAL 33Kv L1,LANET SUBSTATION,Nakuru,300724898,0,EMARANGISHU
35.66212222,0.210429722,147774 - CHORONOK PRIMARY SCH,147774 - CHORONOK PRIMARY SCH,147774,MOLO 11KV EX ELBURGON,ELBURGON,Nakuru,300724901,3,CHORONOK PRI
35.520825,0.448903611,147822 - CHENUGU  PRIMARY,147822 - CHENUGU  PRIMARY,147822,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300724947,3,CHENUGU  PRIMARY
